939374,939232
7930,7950
10059,1080
97122,54249
146218,495434
872977,765531
692433,589548
782172,478927
901567,590618
537162,84029
578999,393675
683733,665176
880590,629537
416622,552372
339588,536596
911707,543679
71919,909772
109191,240591
495501,179226
112342,112339
220400,167428
74832,187959
99692,504757
23178,95518
387868,167674
128240,591953
720357,637571
423140,484545
8101,759741
575575,796379
445152,765127
100531,638147
569781,620685
836213,7805
912598,97387
356549,248953
655747,817737
606523,765022
423803,118365
127114,160400
940384,766958
457708,457704
9814,701479
801370,877104
766691,730438
697078,889641
324773,150641
67706,619420
241176,48251
577143,418785
348604,290776
551111,688407
486073,280370
282443,287939
316570,510047
97720,371758
173538,80957
145435,420955
661664,258126
121820,443671
506744,576261
461578,701117
847685,720788
358285,804578
685320,861702
69906,900591
547917,885986
551193,612567
906517,889538
613077,557324
227309,405436
860604,436329
722094,74505
572869,825450
846683,906638
437608,404111
490904,467848
486143,725177
283770,545774
170277,145441
258928,268030
582708,735384
20132,489973
222887,271111
692865,692851
857228,375212
21604,360925
19321,232191
331621,671716
116639,796644
293137,766328
427093,172072
729274,916244
937868,111079
740142,486734
793667,340947
392307,123986
9159,27490
74,77
591526,603650
